AID,Mgtry,TagColor,TagNum,CllrSrN,Frequency,StartDateTime,StartDate,StartTime,StopDateTime,StopDate,StopTime,ExpectedBatteryLife_WorstCase,ExpectedBatteryLife_AverageCase
113,N/A,N/A,N/A,2014113,151.654,03/17/2014 09:30,03/17/2014,09:30:00,04/06/2014 10:01,04/06/2014,10:01:00,N/A,N/A
114,N/A,N/A,N/A,2014114,151.512,03/16/2014 11:21,03/16/2014,11:21:00,04/22/2014 10:57,04/22/2014,10:57:00,N/A,N/A
130,N/A,N/A,N/A,33221,151.643,04/01/2014 23:00,04/01/2014,23:00:00,06/09/2014 20:00,06/09/2014,20:00:00,N/A,N/A
121,Long,N/A,N/A,2014121,151.603,03/16/2014 15:03,03/16/2014,15:03:00,08/31/2014 23:03,08/31/2014,23:03:00,N/A,N/A
128,Medium,N/A,N/A,2014128,151.442,03/18/2014 01:58,03/18/2014,01:58:00,08/31/2014 00:58,08/31/2014,00:58:00,N/A,N/A
120,Medium,N/A,N/A,2014120,151.542,03/16/2014 17:02,03/16/2014,17:02:00,10/19/2014 09:01,10/19/2014,09:01:00,N/A,N/A
129,Long,Yellow,14,33212,151.073,03/22/2014 08:00,03/22/2014,08:00:00,10/30/2014 05:00,10/30/2014,05:00:00,N/A,N/A
116,Long,Yellow,58,2014116,151.582,03/16/2014 12:01,03/16/2014,12:01:00,12/09/2014 12:00,12/09/2014,12:00:00,N/A,N/A
108,Long,Orange,60,2014108,151.533,03/16/2014 07:58,03/16/2014,07:58:00,12/15/2014 10:58,12/15/2014,10:58:00,N/A,N/A
117,Long,N/A,N/A,2014117,151.504,03/16/2014 12:04,03/16/2014,12:04:00,12/15/2014 12:04,12/15/2014,12:04:00,N/A,N/A
123,Medium,Orange,73,2014123,151.622,03/16/2014 21:06,03/16/2014,21:06:00,12/15/2014 11:06,12/15/2014,11:06:00,N/A,N/A
124,Medium,Orange,65,2014124,151.254,03/18/2014 21:02,03/18/2014,21:02:00,12/15/2014 10:03,12/15/2014,10:03:00,N/A,N/A
127,Long,N/A,N/A,2014127,151.592,03/16/2014 09:05,03/16/2014,09:05:00,12/15/2014 14:03,12/15/2014,14:03:00,N/A,N/A
218,N/A,N/A,N/A,2014218,151.375,12/16/2014 09:57,12/16/2014,09:57:00,12/22/2014 10:57,12/22/2014,10:57:00,N/A,N/A
130,N/A,N/A,N/A,2014130,151.333,12/16/2014 01:59,12/16/2014,01:59:00,12/25/2014 09:59,12/25/2014,09:59:00,N/A,N/A
244,Medium,Orange,52,2014244,151.412,12/21/2014 00:57,12/21/2014,00:57:00,07/25/2015 00:57,07/25/2015,00:57:00,N/A,N/A
127,Long,N/A,N/A,2015127,152.041,03/17/2015 08:00,03/17/2015,08:00:00,11/16/2015 16:00,11/16/2015,16:00:00,N/A,N/A
115,Short,N/A,N/A,2014115,151.405,03/23/2014 09:03,03/23/2014,09:03:00,12/12/2015 12:01,12/12/2015,12:01:00,N/A,N/A
227,Medium,Yellow,4,2014227,151.213,12/16/2014 21:59,12/16/2014,21:59:00,12/12/2015 11:58,12/12/2015,11:58:00,N/A,N/A
234,Short,N/A,N/A,2014234,151.043,12/16/2014 10:01,12/16/2014,10:01:00,12/12/2015 13:58,12/12/2015,13:58:00,N/A,N/A
253,N/A,N/A,N/A,37109,161.699,03/12/2016 11:00,03/12/2016,11:00:00,03/15/2016 11:00,03/15/2016,11:00:00,N/A,N/A
128,Medium,N/A,N/A,37060,161.819,03/11/2016 09:00,03/11/2016,09:00:00,03/22/2016 09:00,03/22/2016,09:00:00,N/A,N/A
231,N/A,N/A,N/A,37114,161.719,03/11/2016 10:00,03/11/2016,10:00:00,03/23/2016 13:00,03/23/2016,13:00:00,N/A,N/A
116,Long,Yellow,58,37064,161.858,03/11/2016 15:00,03/11/2016,15:00:00,05/14/2016 05:00,05/14/2016,05:00:00,N/A,N/A
261,N/A,N/A,N/A,37070,161.919,03/11/2016 13:00,03/11/2016,13:00:00,05/23/2016 05:00,05/23/2016,05:00:00,N/A,N/A
239,Medium,Orange,63,37065,161.869,03/11/2016 09:00,03/11/2016,09:00:00,05/31/2016 21:00,05/31/2016,21:00:00,N/A,N/A
123,Medium,Orange,73,37110,161.68,03/11/2016 15:00,03/11/2016,15:00:00,06/03/2016 17:00,06/03/2016,17:00:00,N/A,N/A
112,Long,Yellow,2,37058,161.799,03/11/2016 12:00,03/11/2016,12:00:00,07/25/2016 07:00,07/25/2016,07:00:00,N/A,N/A
255,Long,Yellow,24,37116,161.738,03/11/2016 16:00,03/11/2016,16:00:00,08/07/2016 09:00,08/07/2016,09:00:00,N/A,N/A
233,Long,White,37,37074,161.959,03/11/2016 11:00,03/11/2016,11:00:00,09/24/2016 11:00,09/24/2016,11:00:00,N/A,N/A
258,Long,N/A,N/A,37059,161.809,03/11/2016 17:00,03/11/2016,17:00:00,09/30/2016 03:00,09/30/2016,03:00:00,N/A,N/A
259,Long,Yellow,64,37066,161.878,03/11/2016 17:00,03/11/2016,17:00:00,10/01/2016 09:00,10/01/2016,09:00:00,N/A,N/A
251,Long,Yellow,53,37102,161.599,03/11/2016 11:00,03/11/2016,11:00:00,10/14/2016 23:00,10/14/2016,23:00:00,N/A,N/A
240,N/A,Orange,74,37062,161.84,03/12/2016 11:00,03/12/2016,11:00:00,10/17/2016 19:00,10/17/2016,19:00:00,N/A,N/A
263,Long,Orange,59,37073,161.948,03/11/2016 17:00,03/11/2016,17:00:00,10/18/2016 17:00,10/18/2016,17:00:00,N/A,N/A
120,Medium,N/A,N/A,37104,161.619,03/11/2016 09:00,03/11/2016,09:00:00,11/10/2016 19:00,11/10/2016,19:00:00,N/A,N/A
270,N/A,N/A,N/A,37070,161.919,12/06/2016 13:00,12/06/2016,13:00:00,12/21/2016 11:00,12/21/2016,11:00:00,N/A,N/A
127,Long,N/A,N/A,36900,159.199,03/11/2016 14:00,03/11/2016,14:00:00,12/28/2016 17:00,12/28/2016,17:00:00,N/A,N/A
230,Medium,Orange,62,37063,161.849,03/11/2016 09:00,03/11/2016,09:00:00,01/21/2017 11:00,01/21/2017,11:00:00,N/A,N/A
108,Long,Orange,60,37113,161.71,03/12/2016 10:00,03/12/2016,10:00:00,01/25/2017 21:00,01/25/2017,21:00:00,N/A,N/A
274,Medium,White,5,37109,161.699,12/06/2016 15:00,12/06/2016,15:00:00,01/27/2017 19:00,01/27/2017,19:00:00,N/A,N/A
117,Long,N/A,N/A,37103,161.609,03/11/2016 20:00,03/11/2016,20:00:00,01/28/2017 13:00,01/28/2017,13:00:00,N/A,N/A
121,Long,N/A,N/A,37069,161.909,03/11/2016 19:00,03/11/2016,19:00:00,02/02/2017 17:00,02/02/2017,17:00:00,N/A,N/A
272,N/A,N/A,N/A,37060,161.819,12/06/2016 13:00,12/06/2016,13:00:00,02/16/2017 13:00,02/16/2017,13:00:00,N/A,N/A
234,Short,N/A,N/A,37068,161.899,03/11/2016 11:00,03/11/2016,11:00:00,02/23/2017 15:00,02/23/2017,15:00:00,N/A,N/A
248,Long,N/A,N/A,37119,161.77,03/11/2016 12:00,03/11/2016,12:00:00,02/25/2017 21:00,02/25/2017,21:00:00,N/A,N/A
276,Medium,Yellow,61,37059,161.809,12/06/2016 17:00,12/06/2016,17:00:00,03/10/2017 07:00,03/10/2017,07:00:00,N/A,N/A
129,Long,Yellow,14,37106,161.639,03/11/2016 11:00,03/11/2016,11:00:00,03/12/2017 07:00,03/12/2017,07:00:00,N/A,N/A
241,Medium,Orange,58,37061,161.829,03/11/2016 13:00,03/11/2016,13:00:00,03/14/2017 09:00,03/14/2017,09:00:00,N/A,N/A
257,Long,Orange,21,37120,161.779,03/11/2016 17:00,03/11/2016,17:00:00,03/14/2017 07:00,03/14/2017,07:00:00,N/A,N/A
325,N/A,N/A,N/A,36643,151.194,03/14/2017 15:00,03/14/2017,15:00:00,03/15/2017 09:00,03/15/2017,09:00:00,N/A,N/A
270,N/A,N/A,N/A,100282,160.9,03/14/2017 17:00,03/14/2017,17:00:00,03/15/2017 07:00,03/15/2017,07:00:00,N/A,N/A
288,N/A,N/A,N/A,100198,161.3,03/13/2017 09:00,03/13/2017,09:00:00,03/16/2017 07:00,03/16/2017,07:00:00,N/A,N/A
335,N/A,Red,41,100284,160.94,03/14/2017 19:00,03/14/2017,19:00:00,04/04/2017 07:00,04/04/2017,07:00:00,N/A,N/A
227,Medium,Yellow,4,37111,161.689,03/11/2016 16:00,03/11/2016,16:00:00,04/09/2017 09:00,04/09/2017,09:00:00,N/A,N/A
249,Medium,N/A,N/A,37071,161.929,03/11/2016 14:00,03/11/2016,14:00:00,04/13/2017 03:00,04/13/2017,03:00:00,N/A,N/A
266,N/A,Red,7,37064,161.858,12/06/2016 19:00,12/06/2016,19:00:00,04/14/2017 19:00,04/14/2017,19:00:00,N/A,N/A
262,N/A,Orange,69,37072,161.939,03/12/2016 09:00,03/12/2016,09:00:00,05/05/2017 09:00,05/05/2017,09:00:00,N/A,N/A
301,N/A,N/A,N/A,37052,151.1,03/13/2017 15:00,03/13/2017,15:00:00,05/13/2017 09:00,05/13/2017,09:00:00,N/A,N/A
119,Long,Pink,4,37118,161.759,03/12/2016 11:00,03/12/2016,11:00:00,05/17/2017 11:00,05/17/2017,11:00:00,N/A,N/A
121,Long,N/A,N/A,36641,151.172,03/13/2017 13:00,03/13/2017,13:00:00,05/24/2017 23:00,05/24/2017,23:00:00,N/A,N/A
324,Long,Light Blue,15,100275,161.56,03/14/2017 21:00,03/14/2017,21:00:00,07/07/2017 09:00,07/07/2017,09:00:00,N/A,N/A
264,Short,N/A,N/A,37077,161.989,03/11/2016 17:00,03/11/2016,17:00:00,08/28/2017 01:00,08/28/2017,01:00:00,N/A,N/A
308,Long,Red,44,36640,151.162,03/13/2017 17:00,03/13/2017,17:00:00,10/16/2017 11:00,10/16/2017,11:00:00,N/A,N/A
348,N/A,N/A,N/A,100090,160.18,11/05/2017 13:00,11/05/2017,13:00:00,11/06/2017 13:00,11/06/2017,13:00:00,N/A,N/A
283,Medium,N/A,N/A,36721,149.192,03/12/2017 11:00,03/12/2017,11:00:00,11/08/2017 05:00,11/08/2017,05:00:00,N/A,N/A
320,Long,N/A,N/A,36624,151.051,03/14/2017 15:00,03/14/2017,15:00:00,11/29/2017 13:00,11/29/2017,13:00:00,N/A,N/A
361,Medium,Pink,49,37071,161.929,11/05/2017 17:00,11/05/2017,17:00:00,11/30/2017 11:00,11/30/2017,11:00:00,N/A,N/A
244,Medium,Orange,52,37108,161.659,03/11/2016 14:00,03/11/2016,14:00:00,12/04/2017 01:00,12/04/2017,01:00:00,N/A,N/A
