Year,AID,MigratoryStrategy,SpringMS,SpringMSDate,SpringMSTime,SpringME,SpringMEDate,SpringMETime,FallMS,FallMSDate,FallMSTime,FallME,FallMEDate,FallMETime,Notes
2014,108,Long,4/20/2014 1:57,4/20/2014,1:57:00,5/24/2014 8:56,5/24/2014,8:56:00,9/27/2014 4:59,9/27/2014,4:59:00,10/30/2014 7:57,10/30/2014,7:57:00,
2014,113,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 4/6/2014
2014,114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 4/22/2014
2014,115,Short,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Resident year-round in Red Desert; no migration data
2014,116,Long,4/22/2014 5:00,4/22/2014,5:00:00,5/24/2014 21:03,5/24/2014,21:03:00,10/18/2014 3:01,10/18/2014,3:01:00,N/A,N/A,N/A,Collar failed on 12/9/2014 while Deer 116 was still migrating
2014,117,Long,4/22/2014 5:04,4/22/2014,5:04:00,5/28/2014 7:04,5/28/2014,7:04:00,10/1/2014 4:05,10/1/2014,4:05:00,10/20/2014 14:03,10/20/2014,14:03:00,
2014,120,Medium,5/2/2014 3:02,5/2/2014,3:02:00,5/5/2014 7:02,5/5/2014,7:02:00,9/24/2014 4:02,9/24/2014,4:02:00,9/27/2014 6:02,9/27/2014,6:02:00,
2014,121,Long,4/29/2014 14:04,4/29/2014,14:04:00,5/21/2014 19:03,5/21/2014,19:03:00,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 8/31/2014
2014,123,Medium,4/12/2014 23:06,4/12/2014,23:06:00,5/18/2014 21:07,5/18/2014,21:07:00,10/10/2014 23:05,10/10/2014,23:05:00,10/19/2014 3:05,10/19/2014,3:05:00,
2014,124,Medium,5/2/2014 2:02,5/2/2014,2:02:00,5/16/2014 10:00,5/16/2014,10:00:00,11/1/2014 6:01,11/1/2014,6:01:00,11/14/2014 19:01,11/14/2014,19:01:00,
2014,127,Long,5/2/2014 3:05,5/2/2014,3:05:00,5/25/2014 10:02,5/25/2014,10:02:00,10/13/2014 3:03,10/13/2014,3:03:00,11/28/2014 16:04,11/28/2014,16:04:00,
2014,128,Medium,5/1/2014 1:58,5/1/2014,1:58:00,5/4/2014 23:56,5/4/2014,23:56:00,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 8/31/2014
2014,129,Long,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GPS fixes missing and irregular; unable to accurately extract migration data
2014,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Collar failed on 6/9/2014; GPS fixes missing and irregular; unable to accurately extract migration data
2015,115,Short,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Resident year-round in Red Desert; no migration data
2015,127,Long,4/22/2015 2:00,4/22/2015,2:00:00,5/27/2015 16:00,5/27/2015,16:00:00,10/27/2015 8:00,10/27/2015,8:00:00,N/A,N/A,N/A,Collar failed on 11/16/2015 while Deer 127 was migrating
